"key","english","farsi"
"change_button","Change Language","تغيير زبان"
"username","Username","نام کاربری"
"password","Password","رمز"
"login_error_empty","Please fill both fields.","لطفاً هر دو فیلد را پر کنید."
"login_error_info","Username or password is wrong! Please try agian.","نام کاربری یا رمز اشتباه است! لطفا دوباره تلاش کنید."
"login_button","Login","ورود"
"login_username_inputfield_placeholder","Username ...","نام کاربري ..."
"login_password_inputfield_placeholder","Password ...","رمز عبور ..."
"login_password_inputfield_placeholder","Password ...","رمز عبور ..."
"cancel_button","Cancel","لغو"
"test","Test","تست"
"change_button","Change Language","تغيير زبان"
"sample_set_key_tutorial","This is how you can set key of your text using code. You need to call SetKey function of its Localize component with your desired key from Localization.csv file as its parameter.","به این ترتیب می توانید کلید متن خود را با استفاده از کد تنظیم کنید شما باید تابع SetKey از کامپوننت Localize آن را با کلید دلخواه خود که در فایل Localization.csv قرار دارد، به عنوان پارامتر آن، فراخوانی کنید."
"sample_set_key_new_line_tutorial","In order to go to the next line, use At Sign.@Wherever you place this character, the rest of the text will be written in a new line.","برای رفتن به خط بعدی، از At Sign استفاده کنید. @ هر کجا این کاراکتر را قرار دهید، بقیه متن در یک خط جدید نوشته خواهد شد."
"sample_set_key_replace_strings_tutorial","This text has 2 hashtag chars.@#@and@#@You can replace your desired strings with them by simply giving these desired strings to SetKey function. You can use as much as you want hashtags and replave them.","این متن دارای 2 کاراکتر هشتگ است.@#@و@#@می توانید رشته های مورد نظر خود را با قرار دادن این رشته های دلخواه در تابع SetKey جایگزین آنها کنید. می توانید به اندازه دلخواه هشتگ استفاده کرده و جایگزین آنها کنید."
"customers_accept_offer","Accept Offer","پذیریش پیشنهاد"
"customers_header_no","NO.","عدد"
"customers_header_company","Company","شرکت"
"customers_header_type","Type","نوع"
"customers_header_volume","Volume","تعداد"
"customers_header_cost_per_unit","Cost/Unit","قیمت بر واحد"
"customers_header_total","Total Cost","کل هزینه"
"customers_header_eea","EEA","تاریخ یک"
"customers_header_lea","LEA","تاریخ دو"
"customers_header_deadline","Offer Deadline","مهلت نهایی"
"customers_header_frequency","Frequency","تکرار"
"customers_new_offer_finalize","Place Offer","ارسال پیشنهاد"
"providers_header_no","NO.","شماره"
"providers_header_company","Company","شرکت"
"providers_header_type","Type","نوع"
"providers_header_max_monthly_cap","Max monthly Cap","حداکثر سقف ماهیانه"
"providers_header_provider_average_cost","Provider Average Cost","هزینه‌ی متوسط تامین‌کننده"
"providers_header_provider_min_on_record","Provider Min on record","حداقل ثبت‌شده‌ی تامین‌کننده"
"providers_header_provider_max_on_record","Provider Max on record","حداکثر ثبت‌شده‌ی تامین‌کننده"
"providers_header_send_offer","Send Offer","ارسال پیشنهاد"
"providers_place_yourself_as_provider","Place Yourself as Provider","تامین‌کننده باشید"
"providers_type_dropdown","Select Type","نوع را انتخاب کنید"
"providers_place_button","Place Provider","قرار دادن تامین‌کننده"
"providers_send_offer_button","Send","ارسال"
"page_navigation_buttons_gamein","Gamein","گیمین"
"page_navigation_buttons_supplier","Supplier","تامین‌کننده"
"page_navigation_buttons_deals","Deals","معامله‌ها"
"page_navigation_buttons_demander","Demander","متقاضی"
"page_navigation_buttons_demander","Demander","متقاضی"
"map_type_title","Map Type","نوع نقشه"
"map_type_streets","Streets","خيابان"
"map_type_outDoors","OutDoors","فضاي باز"
"map_type_dark","Dark","تاريک"
"map_type_light","Light","روشن"
"map_type_light","Light","روشن"
"negotiations_header_state","State","وضعیت"
"negotiations_header_negotiate","Negotiate","معامله"
"negotiations_send_new_offer_button","Send a new offer and negotiate","پیشنهاد جدید بفرستید و معامله کنید"
"negotiations_switch_to_offer_button","Switch to this offer","دیدن پیشنهاد"
"negotiations_reject_button","reject","رد کردن"
"negotiations_click_if_agree_button","Click if agree","کلیک در صورت موافقت"
"customers_popup_volume","Volume","تعداد"
"customers_popup_cost_per_unit","Cost per unit","قیمت بر واحد"
"customers_popup_eea","Earliest Expected Arrival","زودترین زمان مورد انتظار دریافت"
"customers_popup_lea","Latest Expected Arrival","دیرترین زمان مورد انتظار دریافت"
"customers_popup_deadline","Deadline","مهلت نهایی"
"customers_popup_deadline","Deadline","مهلت نهایی"
"gamein_customers_contracts_title","Contracts","قراردادها"
"gamein_customers_contracts_number","No.","رديف"
"gamein_customers_contracts_customer","Customer","فروشگاه"
"gamein_customers_contracts_product","Product","محصول"
"gamein_customers_contracts_contract_Type","Contract Type","نوع قرارداد"
"gamein_customers_contracts_action","Action","اکشن"
"gamein_customers_title","Gamein Customers","فروشگاه‌هاي گيمين"
"gamein_customers_name","Name","نام"
"contract_type_once","Once","یک‌باره"
"contract_type_longterm","Longterm","طولانی"
"contract_type_longterm","Longterm","طولانی"
"chat_input_field_hint","Enter message...","پیام خود را وارد کنید..."
"chat_input_field_hint","Enter message...","پیام خود را وارد کنید..."
"auction_available_countries","Available Countries","کشورهای موجود"
"auction_france","France","فرانسه"
"auction_germany","Germany","آلمان"
"auction_united_kingdom","UnitedKingdom","بریتانیا"
"auction_netherlands","Netherlands","هلند"
"auction_belgium","Belgium","بلژیک"
"auction_switzerland","Switzerland","سوئیس"
"auction_get_specified_country","find out which country you will play at","بیابید در کدام کشور بازی خواهید کرد"
"auction_get_specified_country","find out which country you will play at","بیابید در کدام کشور بازی خواهید کرد"
"auction_go_to_map_button","Go to the map","به نقشه برويد"
"auction_bid_successful_result","You succussfully bid higher!","مزايده‌ي شما با موفقيت انجام شد!"
"auction_bid_usuccessful_result","Your bid was unsuccessful! try again for any available factory.","مزايده‌ي شما ناموفق بود! دوباره براي کارخانه‌هاي موجود امتحان کنيد."
"gamein_providers_title","Providers","تأمين‌کننده‌ها"
"gamein_my_providers_title","My Team Providers","تأمين‌هاي تيم من"
"team_name","Team","تيم"
"proivder_capacity","Capacity","ظرفيت"
"proivder_price","Price","قيمت"
"provider_negotiate_button","Negotiate","مذاکره"
"provider_remove_button","Remove","حذف"
"gamein_other_providers_title","Other Providers","تأمين‌کننده‌هاي ديگر"
"new_provider_capacity","Capacity you can provide","ظرفیتی که می‌توانید تأمين کنيد"
"new_provider_capacity_placeholder","Capacity...","ظرفيت..."
"new_provider_price","Price/Unit","قيمت/واحد"
"new_provider_price_placeholder","Price...","قيمت..."
"new_provider_average_price","Average Price on Record","ميانگين قيمت ثبت‌شده"
"new_provider_select_to_see","Select Product to See this...","برای مشاهده، محصول را انتخاب کنید..."
"new_provider_min_price","Min Price on Record","کمترين قيمت ثبت‌شده"
"new_provider_max_price","Max Price on Record","بيشترين قيمت ثبت‌شده"
"new_provider_title","Be a Provider","تأمين‌کننده باشيد"
"done_button","Done","تأييد"
"RFQ_tabs_Offers","Offers","پيشنهادات"
